中文©新闻,#genre#
冬奥纪实[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225676/index.m3u8
冬奥纪实[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225676/index.m3u8
劲爆体育[1920*1080],http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/jbtyhd/4000000/mnf.m3u8
魅力足球[1920*1080],http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/mlyyhd/4000000/mnf.m3u8
五星体育[1920*1080],http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8
新视觉[1920*1080],http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/xsjhd/4000000/mnf.m3u8
超级体育ᴴᴰ[1920*1080],http://39.134.155.137/PLTV/88888888/224/3221225653/index.m3u8
超级体育ᴴᴰ[1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225925/index.m3u8
超级体育[1920*1080],http://39.134.155.153/PLTV/88888888/224/3221225576/index.m3u8
体育赛事[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226803/index.m3u8
精彩体育[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226010/index.m3u8
咪咕视频·PP体育1[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225611/index.m3u8
百事通体育 1080[1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226599/index.m3u8
百事通体育 1080[1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226646/index.m3u8
百事通体育 1080[1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8
百事通体育 1080[1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226573/index.m3u8
百事通体育 1080[1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226638/index.m3u8
百事通体育 1080[1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
百事通体育 1080[1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226642/index.m3u8
爱尔达体育3[1920*1080],http://198.16.106.62:8278/streams/d/eltasport3_zero/playlist.m3u8
Star Sports[1024*576],rtmp://58.200.131.2:1935/livetv/starsports
ELEVEN2[1920*1080],http://198.16.106.62:8278/streams/d/luxetv_zero/playlist.m3u8
ASTRO SPORT 2[1280*720],http://50.7.161.82:8278/streams/d/Assp2/playlist.m3u8
ASTRO SPORT 2[1280*720],http://50.7.161.82:8278/streams/d/assp2_pye/playlist.m3u8
ASTRO SPORT 4[1280*720],http://159.192.73.198:1072/astro4
ASTRO SPORT 4[1280*720],http://50.7.161.82:8278/streams/d/assp4_pye/playlist.m3u8
NBA HD[1280*720],https://www.livedoomovie.com/02_nbahd_720p/chunklist.m3u8
纬来体育台[1280*720],http://198.16.106.62:8278/streams/d/videolandsport_zero/playlist.m3u8
FS1cdn[1280*720],https://livecdn.fptplay.net/qnetlive/foxsports_2000.stream/chunklist.m3u8
FS2cdn[1280*720],https://livecdn.fptplay.net/qnetlive/foxsports2_2000.stream/chunklist.m3u8
FS3cdn[1280*720],https://livecdn.fptplay.net/qnetlive/foxsports3_2000.stream/chunklist.m3u8
FS3cdn[1280*720],https://livecdn.fptplay.net/qnetlive/foxsports3_hls.smil/chunklist_b2500000.m3u8
FS3LIVE[1280*720],https://www.livedoomovie.com/02_FoxSport3_TH_720p/chunklist.m3u8
香港☒頻道,#genre#
J2[1920*1080],https://cdn.hkdtmb.com/hls/82/index.m3u8
明珠台[1920*1080],http://cdn.hkdtmb.com/hls/84/index.m3u8
TVB星河频道[1280*720],http://50.7.161.82:8278/streams/d/Xinhe/playlist.m3u8
TVB星河频道[1280*720],http://50.7.161.82:8278/streams/d/Xinhe/./playlist.m3u8
翡翠华丽台[1280*720],http://198.16.106.62:8278/streams/d/Wlt/playlist.m3u8
有線綜合娛樂台[1024*576],http://gslbmeiah.cdn.hk.chinamobile.com/livehls/MOB-CN/03.m3u8
无线新闻[1920*1080],http://cdn.hkdtmb.com/hls/83/index.m3u8
无线财经[1920*1080],http://cdn.hkdtmb.com/hls/85/index.m3u8
RHK32[1920*1080],https://cdn.hkdtmb.com/hls/32/index.m3u8
ViuTV[1920*1080],http://61.238.6.49:8000/bysid/99
ViuTV6[1920*1080],http://cdn.hkdtmb.com/hls/96/index.m3u8
ViuTV6[1920*1080],http://61.238.6.49:8000/bysid/96
凤凰中文 10M720[1280*720],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/index.m3u8
凤凰资讯 10M720[1280*720],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/index.m3u8
凤凰中文[1280*720],http://223.110.245.139/PLTV/3/224/3221226922/index.m3u8
凤凰中文[768*576],rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
凤凰资讯[1280*720],http://117.169.124.43:6610/ysten-businessmobile/live/fhzixun/index.m3u8
凤凰资讯[1280*720],http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8
凤凰香港[1280*720],http://198.16.106.62:8278/streams/d/hkphoenix_twn/playlist.m3u8
凤凰香港[1280*720],http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
凤凰电影[768*576],rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
功夫台[854*480],http://103.140.229.13/BOBO/bibi.php?id=21715386
功夫台2[854*480],http://ftp9524803.host166.gotoip4.cn/bilibili.php?id=21715386
天映电影[1280*720],http://50.7.161.82:8278/streams/d/Celestial/playlist.m3u8
天映电影2[873*480],http://210.210.155.35/qwr9ew/s/s33/01.m3u8
天映电影[1280*720],http://185.180.221.194:8278/streams/d/Celestial/playlist.m3u8
天映经典[960*540],http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8
天映经典[960*540],http://185.180.221.194:8278/streams/d/Celestial2/playlist.m3u8
星空卫视[768*576],rtmp://58.200.131.2:1935/livetv/startv
Channel[V][768*576],rtmp://58.200.131.2:1935/livetv/channelv
Discovery[1024*576],rtmp://58.200.131.2:1935/livetv/discovery
国家地理频道(台湾)[1024*576],rtmp://58.200.131.2:1935/livetv/natlgeo
港台©198,#genre#
TVBS News 新闻台[1280*720],http://198.16.106.62:8278/streams/d/tvbs_n/playlist.m3u8
TVBS欢乐[1920*1080],http://198.16.106.62:8278/streams/d/tvbsgbk_twn/playlist.m3u8
TVBS[1920*1080],http://198.16.106.62:8278/streams/d/tvbs/playlist.m3u8
中天综合[1280*720],http://198.16.106.62:8278/streams/d/ctizhonghe/playlist.m3u8
民视[1280*720],http://198.16.106.62:8278/streams/d/ftvhd_taiwan/playlist.m3u8
民视台湾台[1280*720],http://198.16.106.62:8278/streams/d/ftvtaiwan_twn/playlist.m3u8
三立台湾[1920*1080],http://198.16.106.62:8278/streams/d/sanlitaiwan/playlist.m3u8
三立新聞[1280*720],http://198.16.106.62:8278/streams/d/sanlinews_zero/playlist.m3u8
纬来日本台[1280*720],http://198.16.106.62:8278/streams/d/videolandjapan_zero/playlist.m3u8
纬来电影台[1280*720],http://198.16.106.62:8278/streams/d/videolandmovie_zero/playlist.m3u8
纬来精彩台[1280*720],http://198.16.106.62:8278/streams/d/videolandspecial_zero/playlist.m3u8
纬来体育台[1280*720],http://198.16.106.62:8278/streams/d/videolandsport_zero/playlist.m3u8
纬来戏剧台[1280*720],http://198.16.106.62:8278/streams/d/videolandxiju_zero/playlist.m3u8
纬来综合台[1920*1080],http://198.16.106.62:8278/streams/d/videolandzonghe_zero/playlist.m3u8
亚洲美食[1280*720],http://198.16.106.62:8278/streams/d/asiafood_zero/playlist.m3u8
ELTA体育3台[1920*1080],http://198.16.106.62:8278/streams/d/eltasport3_zero/playlist.m3u8
ELTA綜合台[1280*720],http://198.16.106.62:8278/streams/d/eltazonghe_zero/playlist.m3u8
NatGeo_People[1280*720],http://198.16.106.62:8278/streams/d/natgeopeople_zero/playlist.m3u8
BBC Earth Lifestyle[1280*720],http://198.16.106.62:8278/streams/d/bbclifestyle_zero/playlist.m3u8
Nickelodeon[854*480],http://198.16.106.62:8278/streams/d/Nickelodeon/playlist.m3u8
Nick Jr[854*480],http://198.16.106.62:8278/streams/d/Nickjr/playlist.m3u8
Baby TV Eng[1280*720],http://198.16.106.62:8278/streams/d/Babytv/playlist.m3u8
Kids TV[854*480],http://198.16.106.62:8278/streams/d/KidsTV/playlist.m3u8
Disney Channel[1280*720],http://198.16.106.62:8278/streams/d/Disneyxd/playlist.m3u8
鳳凰香港台[1280*720],http://198.16.106.62:8278/streams/d/hkphoenix_twn/playlist.m3u8
翡翠台[1280*720],http://198.16.106.62:8278/streams/d/Wlt/playlist.m3u8
astor AOD[1280*720],http://198.16.106.62:8278/streams/d/AodHD/playlist.m3u8
FOX犯罪電影[1280*720],http://198.16.106.62:8278/streams/d/foxcrime_zero/playlist.m3u8
FOX動作電影[1280*720],http://198.16.106.62:8278/streams/d/foxaction_zero/playlist.m3u8
FOX家庭電影[1280*720],http://198.16.106.62:8278/streams/d/foxfamily_zero/playlist.m3u8
HBO原創電影[1280*720],http://198.16.106.62:8278/streams/d/hbosignature_zero/playlist.m3u8
Food亞洲美食[1280*720],http://198.16.106.62:8278/streams/d/asiafood_zero/playlist.m3u8
電影©頻道,#genre#
HBOSignature[1280*720],http://198.16.106.62:8278/streams/d/hbosignature_zero/playlist.m3u8
FOXCRIME[1280*720],http://198.16.106.62:8278/streams/d/foxcrime_zero/playlist.m3u8
FOXActionMovies[1280*720],http://198.16.106.62:8278/streams/d/foxaction_zero/playlist.m3u8
FoxFamilyMovies[1280*720],http://198.16.106.62:8278/streams/d/foxfamily_zero/playlist.m3u8
纬来电影台[1280*720],http://198.16.106.62:8278/streams/d/videolandmovie_zero/playlist.m3u8
海外©頻道,#genre#
NBC[640*360],http://stream.tvtap.live:8081/live/us-nbcback.stream/playlist.m3u8
CNBC[640*360],http://stream.tvtap.live:8081/live/us-cnbc.stream/playlist.m3u8
ABCnews[640*360],http://stream.tvtap.live:8081/live/us-abcnews.stream/playlist.m3u8
ABC[640*360],http://stream.tvtap.live:8081/live/us-abc.stream/playlist.m3u8
HGTV居家乐活[1280*720],http://185.180.221.194:8278/streams/d/HGTV/playlist.m3u8
HGTV居家乐活[1280*720],http://50.7.161.82:8278/streams/d/HGTV/playlist.m3u8
tvN[1280*720],http://50.7.161.82:8278/streams/d/TVN/playlist.m3u8
tvN[1280*720],http://185.180.221.194:8278/streams/d/TVN/playlist.m3u8
HBOHD[1280*720],http://50.7.161.82:8278/streams/d/Hbo/playlist.m3u8
HBOHD[1280*720],http://185.180.221.194:8278/streams/d/Hbo/playlist.m3u8
HBOHits[1280*720],http://185.180.221.194:8278/streams/d/Hbohits/playlist.m3u8
HBOSignature[1280*720],http://185.180.221.194:8278/streams/d/Hbosignature/playlist.m3u8
FOX[1920*1080],https://htv-drm-live-cdn.fptplay.net/CDN-FPT02/FOX-HD-1080p/playlist.m3u8
FOX[1280*720],http://185.180.221.194:8278/streams/d/Foxhd/playlist.m3u8
FOXLIFE[1280*720],http://185.180.221.194:8278/streams/d/Foxlife/playlist.m3u8
FOXMOVIES[1280*720],http://185.180.221.194:8278/streams/d/Foxmovie/playlist.m3u8
FOXMOVIES[1920*1080],https://htv-drm-live-cdn.fptplay.net/CDN-FPT02/FOXMOVIES-HD-1080p/playlist.m3u8
FoxFamilyMovies[1280*720],http://185.180.221.194:8278/streams/d/Foxfamily/playlist.m3u8
FOXCRIME[1280*720],http://185.180.221.194:8278/streams/d/Foxcrime/playlist.m3u8
AnimaxHD[1280*720],https://livecdn.fptplay.net/hda3/animaxport_2000.stream/.m3u8
NHK[1280*720],https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
BBCWorldNews[1024*576],http://103.199.161.254/Content/bbcworld/Live/Channel(BBCworld)/index.m3u8
TVNMovie[1280*720],http://185.180.221.194:8278/streams/d/Tvnmovie/playlist.m3u8
SBSStar[859*480],https://streaming-a-802.cdn.nextologies.com/SBS_18/live/SBS_18_1500k/chunks.m3u8
Sony One50[1280*720],http://50.7.161.82:8278/streams/d/SetOne/playlist.m3u8
Sony ONE185[1280*720],http://185.180.221.194:8278/streams/d/One/playlist.m3u8
SKYnews[1280*720],https://skynews2-plutolive-vo.akamaized.net/cdhlsskynewsamericas/1013/05.m3u8
BBCLifestyle[1024*576],https://livecdn.fptplay.net/qnetlive/bbclifestyle_2000.stream/chunklist.m3u8
BBCEarth[1280*720],http://185.180.221.194:8278/streams/d/Bbcearth/playlist.m3u8
国家地理野生频道[1280*720],http://50.7.161.82:8278/streams/d/Natgeowild/playlist.m3u8
国家地理悠人频道[1280*720],http://185.180.221.194:8278/streams/d/Natgeopeople/playlist.m3u8
Discovery[1920*1080],https://htv-drm-live-cdn.fptplay.net/CDN-FPT02/DISCOVERY-HD-1080p/playlist.m3u8
Disney[1280*720],http://185.180.221.194:8278/streams/d/Disneyxd/playlist.m3u8
Nickelodeon[854*480],http://198.16.106.62:8278/streams/d/Nickelodeon/playlist.m3u8
Nick Jr[854*480],http://198.16.106.62:8278/streams/d/Nickjr/playlist.m3u8
Baby TV Eng[1280*720],http://198.16.106.62:8278/streams/d/Babytv/playlist.m3u8
Kids TV[854*480],http://198.16.106.62:8278/streams/d/KidsTV/playlist.m3u8
Disney Channel[1280*720],http://198.16.106.62:8278/streams/d/Disneyxd/playlist.m3u8
动物星球[0*0],http://77.83.117.60:8888/02_AnimalPlanet/chunklist.m3u8
Outdoor[1280*720],https://livecdn.fptplay.net/world/outdoorfhd_hls.smil/chunklist_b2500000.m3u8
FashionTV[800*453],http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
FashionTV[800*453],http://lb.streaming.sk/fashiontv/stream/chunklist_w1402273512.m3u8
SkyNews[512*288],https://skynews2-plutolive-vo.akamaized.net/cdhlsskynewsamericas/1013/latest.m3u8
TV1[1280*720],http://185.180.221.194:8278/streams/d/TV1/playlist.m3u8
TV2[1280*720],http://185.180.221.194:8278/streams/d/TV2/playlist.m3u8
TV3[1280*720],http://185.180.221.194:8278/streams/d/TV3/playlist.m3u8
NTV7[1280*720],http://185.180.221.194:8278/streams/d/NTV7/playlist.m3u8
8TV[1280*720],http://185.180.221.194:8278/streams/d/TV8/playlist.m3u8
TV9[1280*720],http://185.180.221.194:8278/streams/d/TV9/playlist.m3u8
Astro Awani[1280*720],http://185.180.221.194:8278/streams/d/Awani/playlist.m3u8
Astro AEC[1280*720],http://185.180.221.194:8278/streams/d/Aec/playlist.m3u8
Astro Warna[1280*720],http://185.180.221.194:8278/streams/d/Warna/playlist.m3u8
Astro Ria[1280*720],http://185.180.221.194:8278/streams/d/Ria/playlist.m3u8
Astro Prima[1280*720],http://185.180.221.194:8278/streams/d/Prima/playlist.m3u8
Astro Oasis[1280*720],http://185.180.221.194:8278/streams/d/Oasis/playlist.m3u8
Astro Citra[1280*720],http://185.180.221.194:8278/streams/d/Citra/playlist.m3u8
BOO[1280*720],http://185.180.221.194:8278/streams/d/Boo/playlist.m3u8
Naura[1280*720],http://185.180.221.194:8278/streams/d/Naura/playlist.m3u8
Astro AECᴴᴰ[1280*720],http://185.180.221.194:8278/streams/d/Aec/playlist.m3u8
Astro 欢喜ᴴᴰhttp://185.180.221.194:8278/streams/d/Huahee/playlist.m3u8
Astro 双星ᴴᴰ[1280*720],http://50.7.161.82:8278/streams/d/Shuangxing/playlist.m3u8
Astro 全佳ᴴᴰ[1280*720],http://185.180.221.194:8278/streams/d/Quanjia/playlist.m3u8
TVB Xing He[1280*720],http://185.180.221.194:8278/streams/d/Xinhe/playlist.m3u8
Astro Quan Jia[1280*720],http://185.180.221.194:8278/streams/d/Quanjia/playlist.m3u8
Astro AOD[1280*720],http://185.180.221.194:8278/streams/d/AodHD/playlist.m3u8
Astro Xiao Tai Yang[1280*720],http://185.180.221.194:8278/streams/d/Xiaotaiyang/playlist.m3u8
Astro Hua Hee Dai[1280*720],http://185.180.221.194:8278/streams/d/Huahee/playlist.m3u8
Astro Shuang Xing[1280*720],http://185.180.221.194:8278/streams/d/Shuangxing/playlist.m3u8
iQIYI[1280*720],http://185.180.221.194:8278/streams/d/Qiyi/playlist.m3u8
Thrill[854*480],http://185.180.221.194:8278/streams/d/Thrill/playlist.m3u8
AXN HD[1920*1080],https://htv-drm-live-cdn.fptplay.net/CDN-FPT02/AXN-HD-1080p/playlist.m3u8
AXN[1280*720],http://185.180.221.194:8278/streams/d/Axn/playlist.m3u8
AFN[854*480],http://185.180.221.194:8278/streams/d/Afc/playlist.m3u8
HITS[1280*720],http://185.180.221.194:8278/streams/d/Hits/playlist.m3u8
HITS MOVIES[1280*720],http://185.180.221.194:8278/streams/d/Hitsmovie/playlist.m3u8
Celestial Movie[1280*720],http://185.180.221.194:8278/streams/d/Celestial/playlist.m3u8
CCM[960*540],http://185.180.221.194:8278/streams/d/Celestial2/playlist.m3u8
ONE[1280*720],http://185.180.221.194:8278/streams/d/One/playlist.m3u8
4K©頻道,#genre#
